Warehouse,StoreID,SKU,QTY,UOM
TRUE,1,RZZSxq,3,buypack
TRUE,1,HHY1ds,1,buypack
TRUE,1,TwErrn,2,case
TRUE,3,9FFwEf,3,buypack
TRUE,3,V9hDyY,2,case
TRUE,3,QIb1Te,3,buypack
TRUE,3,Xd4sZA,2,case
TRUE,3,1X3p2H,1,case
TRUE,3,pCjr1R,2,buypack
TRUE,3,fvBBXY,3,buypack
TRUE,3,LRN0uO,3,buypack
TRUE,3,J4fMRf,1,case
TRUE,3,8CnCaM,3,case
TRUE,3,YnyFQq,1,case
TRUE,3,K8gkI8,2,buypack
TRUE,3,XkiZ9D,1,buypack
TRUE,3,IWoDZ7,2,case
TRUE,3,AcIRu7,3,case
TRUE,3,g0RPTY,1,case
TRUE,3,iYvFyn,1,buypack
TRUE,3,RZZSxq,1,case
TRUE,3,HHY1ds,2,case
TRUE,3,TwErrn,1,case
